date;Chicago Fed National Activity Index;Chicago Fed National Activity Index: Three Month Moving Average;Chicago Fed National Activity Index: Diffusion Index;Chicago Fed National Activity Index: Personal Consumption and Housing;Chicago Fed National Activity Index: Production and Income;Chicago Fed National Activity Index: Sales, Orders and Inventories;Chicago Fed National Activity Index: Employment, Unemployment and Hours
1970-01-01;-1,33;-0,79;-0,43;-0,03;-0,75;-0,29;-0,25
1970-02-01;-0,15;-0,57;-0,35;0,02;-0,07;-0,04;-0,06
1970-03-01;-0,57;-0,68;-0,47;-0,1;-0,14;-0,26;-0,08
1970-04-01;-0,69;-0,47;-0,44;0,01;-0,19;-0,19;-0,32
1970-05-01;-0,32;-0,53;-0,49;0,06;-0,14;0,13;-0,36
1970-06-01;-0,27;-0,43;-0,43;0,04;-0,15;0,05;-0,2
1970-07-01;-0,01;-0,2;-0,27;0,02;0,05;-0,04;-0,05
1970-08-01;-0,56;-0,28;-0,36;0,01;-0,3;-0,05;-0,23
1970-09-01;-0,63;-0,4;-0,38;0,04;-0,35;-0,11;-0,22
1970-10-01;-1,76;-0,98;-0,52;-0,02;-0,8;-0,35;-0,59
1970-11-01;-1,02;-1,14;-0,53;-0,12;-0,37;-0,26;-0,27
1970-12-01;1,61;-0,39;-0,25;0,2;0,75;0,47;0,21
1971-01-01;0,55;0,38;0,08;0,25;0,18;0,1;0,02
1971-02-01;0,0;0,72;0,23;0,07;-0,04;0,06;-0,09
1971-03-01;-0,06;0,16;0,02;0,07;-0,11;0,05;-0,07
1971-04-01;0,45;0,13;0,05;0,15;0,18;0,02;0,1
1971-05-01;0,42;0,27;0,26;0,05;0,11;0,11;0,16
1971-06-01;0,39;0,42;0,44;0,17;0,11;0,2;-0,09
1971-07-01;-0,14;0,23;0,18;0,06;0,01;-0,21;0,0
1971-08-01;-0,06;0,07;0,01;0,14;-0,31;0,13;-0,02
1971-09-01;0,99;0,26;0,13;0,22;0,57;0,08;0,12
1971-10-01;0,42;0,45;0,31;0,13;0,35;-0,07;0,01
1971-11-01;0,64;0,68;0,53;0,15;0,12;0,24;0,13
1971-12-01;0,83;0,63;0,57;0,13;0,35;0,2;0,15
1972-01-01;1,4;0,96;0,73;0,11;0,82;0,22;0,24
1972-02-01;0,38;0,87;0,72;0,14;0,29;-0,22;0,17
1972-03-01;1,03;0,94;0,71;0,29;0,25;0,26;0,23
1972-04-01;0,73;0,72;0,69;0,12;0,33;0,11;0,17
1972-05-01;0,5;0,75;0,63;0,16;0,03;0,11;0,19
1972-06-01;0,5;0,58;0,58;0,14;0,1;0,07;0,19
1972-07-01;-0,05;0,32;0,24;0,15;0,02;-0,12;-0,1
1972-08-01;1,47;0,64;0,43;0,17;0,49;0,49;0,33
1972-09-01;0,87;0,77;0,45;0,17;0,26;0,34;0,11
1972-10-01;1,35;1,23;0,8;0,27;0,56;0,24;0,28
1972-11-01;1,28;1,17;0,76;0,16;0,43;0,42;0,27
1972-12-01;1,2;1,28;0,79;0,19;0,44;0,28;0,28
1973-01-01;1,06;1,18;0,76;0,22;0,26;0,3;0,29
1973-02-01;1,23;1,16;0,72;0,17;0,55;0,13;0,38
1973-03-01;0,45;0,91;0,55;0,12;0,09;0,04;0,21
1973-04-01;0,07;0,58;0,3;0,01;-0,06;0,02;0,1
1973-05-01;0,44;0,32;0,2;0,09;0,23;0,02;0,1
1973-06-01;0,22;0,24;0,17;0,07;0,0;-0,01;0,17
1973-07-01;0,51;0,39;0,31;0,13;0,08;0,25;0,05
1973-08-01;-0,37;0,12;0,08;-0,04;-0,12;-0,26;0,05
1973-09-01;0,63;0,26;0,21;0,2;0,28;0,1;0,05
1973-10-01;1,04;0,43;0,32;-0,03;0,3;0,56;0,21
1973-11-01;0,78;0,82;0,62;0,04;0,2;0,38;0,16
1973-12-01;-0,41;0,47;0,36;-0,15;-0,14;-0,09;-0,03
1974-01-01;-0,22;0,05;0,05;0,0;-0,29;0,1;-0,03
1974-02-01;-0,26;-0,3;-0,27;-0,03;-0,19;-0,04;0,01
1974-03-01;0,05;-0,14;-0,24;0,03;-0,05;0,08;-0,01
1974-04-01;-0,37;-0,19;-0,28;0,05;-0,2;-0,08;-0,14
1974-05-01;0,48;0,05;-0,05;0,01;0,21;0,12;0,13
1974-06-01;-0,3;-0,06;-0,14;-0,04;-0,07;-0,09;-0,1
1974-07-01;-0,28;-0,04;-0,16;0,02;-0,09;-0,08;-0,13
1974-08-01;-0,7;-0,43;-0,49;0,05;-0,39;-0,24;-0,12
1974-09-01;-0,85;-0,61;-0,54;-0,24;-0,15;-0,18;-0,28
1974-10-01;-1,1;-0,89;-0,63;-0,16;-0,26;-0,42;-0,26
1974-11-01;-2,43;-1,46;-0,71;-0,21;-1,25;-0,3;-0,67
1974-12-01;-3,28;-2,27;-0,79;-0,16;-1,57;-0,69;-0,85
1975-01-01;-1,76;-2,49;-0,82;0,06;-0,82;-0,29;-0,72
1975-02-01;-2,05;-2,37;-0,77;-0,02;-1,04;-0,34;-0,66
1975-03-01;-1,99;-1,93;-0,78;-0,21;-0,61;-0,7;-0,47
1975-04-01;-0,25;-1,43;-0,6;-0,05;0,0;0,05;-0,25
1975-05-01;-0,2;-0,81;-0,43;0,19;-0,13;-0,23;-0,03
1975-06-01;0,12;-0,11;-0,15;-0,09;0,18;0,09;-0,06
1975-07-01;0,62;0,18;0,09;0,01;0,4;0,08;0,14
1975-08-01;0,68;0,47;0,35;-0,02;0,28;0,1;0,33
1975-09-01;0,61;0,64;0,5;-0,02;0,48;0,02;0,13
1975-10-01;0,28;0,52;0,47;-0,03;0,13;0,01;0,16
1975-11-01;0,13;0,34;0,33;0,03;0,04;-0,06;0,12
1975-12-01;0,85;0,42;0,44;0,06;0,41;0,13;0,26
1976-01-01;1,38;0,79;0,62;0,12;0,45;0,39;0,43
1976-02-01;0,79;1,01;0,79;-0,02;0,39;0,13;0,29
1976-03-01;0,4;0,86;0,69;0,04;0,06;0,14;0,16
1976-04-01;0,32;0,5;0,53;0,08;0,16;0,03;0,05
1976-05-01;0,2;0,31;0,39;-0,11;0,16;0,02;0,12
1976-06-01;0,21;0,24;0,25;0,13;-0,03;0,18;-0,07
1976-07-01;0,29;0,23;0,29;0,01;0,2;0,01;0,07
1976-08-01;0,26;0,25;0,35;-0,02;0,15;0,06;0,06
1976-09-01;0,33;0,29;0,41;0,04;0,07;0,07;0,15
1976-10-01;-0,33;0,09;0,14;0,05;-0,03;-0,27;-0,08
1976-11-01;0,97;0,32;0,24;0,07;0,45;0,24;0,21
1976-12-01;1,09;0,58;0,48;0,2;0,35;0,4;0,15
1977-01-01;-0,2;0,62;0,54;-0,06;-0,24;-0,09;0,18
1977-02-01;1,12;0,67;0,56;0,13;0,54;0,2;0,25
1977-03-01;1,06;0,66;0,48;0,08;0,4;0,22;0,36
1977-04-01;0,65;0,94;0,7;0,08;0,33;-0,04;0,28
1977-05-01;0,64;0,78;0,64;0,05;0,25;0,08;0,27
1977-06-01;0,7;0,66;0,63;0,06;0,28;0,17;0,2
1977-07-01;0,35;0,56;0,55;0,14;0,02;0,01;0,19
1977-08-01;0,27;0,44;0,51;0,05;0,05;0,04;0,13
1977-09-01;0,41;0,35;0,41;0,08;0,03;0,04;0,25
1977-10-01;0,43;0,37;0,45;0,16;0,07;0,05;0,15
