date;Total Private Construction Spending: Amusement and Recreation in the United States;Total Private Construction Spending: Commercial in the United States;Total Private Construction Spending: Communication in the United States;Total Private Construction Spending: Educational in the United States;Total Private Construction Spending: Health Care in the United States;Total Private Construction Spending: Lodging in the United States;Total Private Construction Spending: Manufacturing in the United States;Total Private Construction Spending: Nonresidential in the United States;Total Private Construction Spending: Office in the United States;Total Private Construction Spending: Power in the United States;Total Private Construction Spending: Religious in the United States;Total Private Construction Spending: Residential in the United States;Total Private Construction Spending: Transportation in the United States;Total Public Construction Spending: Amusement and Recreation in the United States;Total Public Construction Spending: Commercial in the United States;Total Public Construction Spending: Conservation and Development in the United States;Total Public Construction Spending: Educational in the United States;Total Public Construction Spending: Health Care in the United States;Total Public Construction Spending: Highway and Street in the United States;Total Public Construction Spending: Nonresidential in the United States;Total Public Construction Spending: Office in the United States;Total Public Construction Spending: Power in the United States;Total Public Construction Spending: Public Safety in the United States;Total Public Construction Spending: Residential in the United States;Total Public Construction Spending: Sewage and Waste Disposal in the United State;Total Public Construction Spending: Transportation in the United States;Total Public Construction Spending: Water Supply in the United States
01/01/1993;3566;31715;9629;3734;14059;3359;24811;150025;22366;27195;3843;194150;4055;;;;;;;;;;;;;;
01/02/1993;4161;32406;9483;3891;13840;3425;23488;149035;21804;27822;3699;194689;3578;;;;;;;;;;;;;;
01/03/1993;3354;33061;10089;3767;14014;4586;22800;148442;20809;26155;4131;190185;4357;;;;;;;;;;;;;;
01/04/1993;4052;32686;9387;4100;14005;3734;21550;144221;20953;23518;4053;198296;4803;;;;;;;;;;;;;;
01/05/1993;4428;34271;9630;4691;14287;5660;23659;148529;18807;23175;3728;198835;4902;;;;;;;;;;;;;;
01/06/1993;5027;33906;9506;5127;15104;5508;21963;147860;19699;22202;3642;203175;4809;;;;;;;;;;;;;;
01/07/1993;4789;32032;9794;5471;15343;4740;22933;145513;18683;21590;3827;208760;4954;;;;;;;;;;;;;;
01/08/1993;5113;34214;9471;6004;15935;4978;23480;149217;19082;21241;3622;212238;4880;;;;;;;;;;;;;;
01/09/1993;5042;35550;9879;5215;15500;5524;23376;150868;19106;21179;4205;214446;5007;;;;;;;;;;;;;;
01/10/1993;5360;35782;9659;5202;15580;4824;23696;151440;19427;22287;3745;214778;4386;;;;;;;;;;;;;;
