date;Industrial Production: Total Index;Industrial Production: Manufacturing;Industrial Production: Mining: Mining;Industrial Production: Utilities: Electric and Gas Utilities;Capacity Utilization: Total Index;Capacity Utilization: Manufacturing;Capacity Utilization: Mining;Capacity Utilization: Utilities: Electric and Gas Utilities
1970-01-01;37,9372;35,9821;87,015;40,2359;83,6586;82,1354;89,0988;96,7958
1970-02-01;37,9122;36,0101;86,0864;40,2248;83,3422;81,9399;88,2094;96,2103
1970-03-01;37,863;35,9073;86,2086;40,7579;82,9743;81,4483;88,3975;96,9282
1970-04-01;37,7656;35,7794;85,9262;40,9943;82,5037;80,9032;88,1702;96,9362
1970-05-01;37,7216;35,6959;85,7098;41,7576;82,152;80,4614;88,0108;98,1832
1970-06-01;37,5996;35,5883;85,4919;40,9232;81,6333;79,9684;87,8491;95,681
1970-07-01;37,6919;35,6988;84,6634;41,5406;81,5815;79,9668;87,0597;96,5829
1970-08-01;37,6247;35,4561;87,0913;42,0899;81,1858;79,1766;89,6202;97,3179
1970-09-01;37,3654;35,1576;87,9967;42,3361;80,3792;78,2671;90,616;97,3469
1970-10-01;36,6179;34,3719;89,5508;41,7047;78,5307;76,2818;92,2822;95,3701
1970-11-01;36,3961;34,1619;89,5949;41,8844;77,8174;75,5823;92,3931;95,2591
1970-12-01;37,232;35,0619;89,0515;41,8382;79,3628;77,3356;91,8983;94,639
1971-01-01;37,5184;35,3588;87,6677;42,8803;79,7501;77,7712;90,5492;96,492
1971-02-01;37,4469;35,3756;86,1441;42,6211;79,3958;77,6099;89,0661;95,4281
1971-03-01;37,4063;35,302;86,4583;42,9828;79,1084;77,2511;89,4832;95,7599
1971-04-01;37,6164;35,4873;86,6864;43,1251;79,3512;77,4594;89,8115;95,6019
1971-05-01;37,8073;35,7264;86,5022;43,4978;79,5523;77,7834;89,7132;95,9549
1971-06-01;37,9658;35,8162;86,2501;43,8438;79,6846;77,7819;89,5439;96,2453
1971-07-01;37,8556;35,877;83,4504;43,6392;79,2535;77,7174;86,7269;95,3306
1971-08-01;37,6359;35,4522;85,2376;43,274;78,5958;76,6039;88,6761;94,0763
1971-09-01;38,2476;36,1697;84,6829;43,5256;79,6734;77,9582;88,1899;94,168
1971-10-01;38,5339;36,7073;77,6056;44,1528;80,0694;78,9186;80,9033;95,0686
1971-11-01;38,6974;36,8429;80,7181;43,5253;80,209;79,0123;84,2351;93,2711
1971-12-01;39,1441;37,185;86,0823;43,2767;80,9333;79,5471;89,9263;92,3
1972-01-01;40,0823;38,1375;86,3942;44,0744;82,6639;81,3656;90,3641;93,5475
1972-02-01;40,485;38,4493;85,478;46,1392;83,2993;81,8211;89,4764;97,5673
1972-03-01;40,7718;38,7231;86,101;46,3459;83,6895;82,1917;90,1942;97,6156
1972-04-01;41,1759;39,1446;86,9881;46,2194;84,3131;82,871;91,1835;96,9322
1972-05-01;41,1792;39,2127;86,2604;45,6428;84,1119;82,7992;90,477;95,3018
1972-06-01;41,2864;39,3491;86,3321;45,3377;84,1181;82,8685;90,6048;94,2299
1972-07-01;41,2475;39,3443;86,1629;44,8841;83,822;82,6385;90,475;92,838
1972-08-01;41,8173;39,8687;87,1515;45,8272;84,7529;83,5135;91,5556;94,2974
1972-09-01;42,1375;40,1778;87,2685;46,3756;85,165;83,9277;91,7149;94,8913
1972-10-01;42,6806;40,7542;86,896;46,893;86,0135;84,8893;91,3534;95,3691
1972-11-01;43,1838;41,2597;86,8439;47,6299;86,7659;85,6901;91,3228;96,237
1972-12-01;43,669;41,8029;86,7212;47,6601;87,4686;86,5574;91,2125;95,6332
1973-01-01;43,9874;42,1292;86,7827;48,038;87,8281;86,9687;91,2914;95,6903
1973-02-01;44,6275;42,8067;86,9014;48,4196;88,8164;88,0924;91,4262;95,7118
1973-03-01;44,6439;42,8806;86,0194;48,0954;88,5532;87,9644;90,5055;94,3141
1973-04-01;44,5779;42,8074;85,7202;48,2454;88,1243;87,5316;90,1968;93,8379
