date;Delinquency Rate on All Loans, All Commercial Banks;Delinquency Rate on Single-Family Residential Mortgages, Booked in Domestic Offices, All Commercial Banks;Delinquency Rate on Commercial Real Estate Loans (Excluding Farmland), Booked in Domestic Offices, All Commercial Banks;Delinquency Rate on Farmland Loans, Booked in Domestic Offices, All Commercial Banks;Delinquency Rate on Credit Card Loans, All Commercial Banks;Delinquency Rate on Other Consumer Loans, All Commercial Banks; Delinquency Rate on Lease Financing Receivables, All Commercial Banks;Delinquency Rate on Business Loans, All Commercial Banks;Delinquency Rate on Loans to Finance Agricultural Production, All Commercial Banks;Total Assets, Interest-Earning, All Loans and Leases, Gross, Secured by Real Estate, Single-Family (1 to 4 Family) Residential Mortgages, Booked in Domestic Offices, All Commercial Banks ;Total Assets, Interest-Earning, All Loans and Leases, Gross, Secured by Real Estate, Commercial Real Estate Loans (Excluding Farmland), Booked in Domestic Offices, All Commercial Banks;Total Assets, Interest-Earning, All Loans and Leases, Gross, Secured by Real Estate, Farmland, Booked in Domestic Offices, All Commercial Banks;Total Assets, Interest-Earning, All Loans and Leases, Gross, Consumer Loans, Credit Cards, All Commercial Banks; Total Assets, Interest-Earning, All Loans and Leases, Gross, Consumer Loans, Other, All Commercial Banks;Total Assets, Interest-Earning, All Loans and Leases, Gross, Lease Financing Receivables, All Commercial Banks;Total Assets, Interest-Earning, All Loans and Leases, Gross, Commercial and Industrial, All Commercial Banks;Total Assets, Interest-Earning, All Loans and Leases, Gross, To Finance Agricultural Production, Other Farm Loans, All Commercial Banks
1985-01-01;4,61;;;;;;;;;182804,0;189450,0;10295,0;63355,0;207612,0;20573,0;567507,0;38953,0
1985-04-01;4,92;;;;;;;;;187057,0;197566,0;10596,0;66930,0;216454,0;21443,0;569626,0;40460,0
1985-07-01;4,91;;;;;;;;;192792,0;206140,0;11022,0;70926,0;224571,0;22086,0;573284,0;39714,0
1985-10-01;4,77;;;;;;;;;197855,0;214887,0;11343,0;78204,0;228948,0;24305,0;576124,0;36085,0
1986-01-01;4,86;;;;;;;;;200210,0;223457,0;11781,0;78636,0;227481,0;24752,0;578547,0;34334,0
1986-04-01;4,74;;;;;;;;;205139,0;232856,0;12225,0;81835,0;232994,0;24983,0;579980,0;34770,0
1986-07-01;4,75;;;;;;;;;212302,0;243673,0;12433,0;85523,0;236924,0;25811,0;570284,0;34160,0
1986-10-01;4,66;;;;;;;;;221445,0;262251,0;12677,0;91453,0;241283,0;27496,0;598838,0;31555,0
1987-01-01;5,63;;;;;;2,49;6,75;9,08;227881,0;273405,0;13172,0;88272,0;237652,0;27783,0;583213,0;29161,0
1987-04-01;5,47;;;;;;2,25;6,75;8,38;240063,0;284027,0;13801,0;89933,0;240013,0;28299,0;580593,0;30780,0
1987-07-01;5,33;;;;;;2,13;6,4;7,65;250594,0;294407,0;14117,0;94816,0;244027,0;28825,0;578179,0;31015,0
1987-10-01;5,32;;;;;;1,88;6,23;7,41;262382,0;304473,0;14411,0;102515,0;245544,0;31086,0;587262,0;29383,0
1988-01-01;5,13;;;;;;1,79;5,85;6,3;267317,0;311077,0;14614,0;102242,0;245433,0;31225,0;594079,0;28558,0
1988-04-01;5,04;;;;;;1,73;5,46;5,83;280841,0;319261,0;15170,0;103347,0;251656,0;32310,0;597366,0;30569,0
1988-07-01;5,07;;;;;;1,62;5,4;5,67;292212,0;326975,0;15386,0;107779,0;256533,0;33201,0;592776,0;31082,0
1988-10-01;4,67;;;;;;1,5;5,0;5,22;300851,0;334845,0;15473,0;116787,0;257872,0;34397,0;598053,0;30145,0
1989-01-01;4,93;;;;;;1,66;5,25;4,76;309084,0;345139,0;15855,0;111533,0;256595,0;34160,0;601906,0;28643,0
1989-04-01;4,99;;;;;;1,8;5,18;4,71;322828,0;354574,0;16319,0;115346,0;261041,0;34458,0;609800,0;30951,0
1989-07-01;5,05;;;;;;1,84;5,2;4,4;336952,0;364509,0;16502,0;119855,0;265309,0;36029,0;614102,0;31717,0
1989-10-01;4,94;;;;;;1,95;5,15;4,22;349369,0;369885,0;16652,0;130918,0;266678,0;37195,0;615801,0;31028,0
1990-01-01;5,03;;;;;;1,88;5,17;4,16;357015,0;377350,0;16788,0;122890,0;264654,0;36714,0;620200,0;29648,0
1990-04-01;5,08;;;;;;1,85;5,35;3,81;376098,0;382743,0;17135,0;122963,0;265851,0;36971,0;618364,0;32213,0
1990-07-01;5,38;;;;;;2,12;5,46;3,7;388940,0;383332,0;17311,0;127331,0;269384,0;37680,0;617820,0;33534,0
1990-10-01;5,99;;;;;;2,39;6,27;3,63;398227,0;383346,0;17261,0;132858,0;266221,0;38015,0;611624,0;33223,0
1991-01-01;6,13;3,09;12,1;4,24;5,26;3,59;2,75;6,29;3,55;405557,0;384877,0;17515,0;128666,0;257762,0;36999,0;602962,0;32248,0
1991-04-01;6,2;3,18;11,82;4,27;5,48;3,52;2,64;6,41;3,61;418058,0;384453,0;18044,0;129464,0;254517,0;36825,0;585762,0;34778,0
1991-07-01;6,0;3,22;11,42;4,39;5,35;3,49;2,49;6,22;3,48;421389,0;379165,0;18326,0;130714,0;252674,0;36186,0;569529,0;35840,0
1991-10-01;5,83;3,28;11,59;4,38;5,32;3,54;2,29;6,03;3,73;429244,0;374398,0;18448,0;138534,0;250499,0;36624,0;556048,0;34873,0
1992-01-01;5,55;3,12;10,78;4,25;5,27;3,3;2,18;5,76;3,62;437199,0;371025,0;18970,0;129137,0;246586,0;35934,0;548445,0;33234,0
