date;Gross Saving;Net saving;Net private saving;Net private saving: Domestic business;Net private saving: Households and institutions;Net Government Saving;Consumption of Fixed Capital;Consumption of fixed capital: Private;Consumption of fixed capital: Private: Domestic business;Consumption of fixed capital: Private: Households and institutions;Consumption of fixed capital: Government;Gross domestic investment, capital account transactions, and net lending, NIPAs;Gross domestic investment;Gross Private Domestic Investment;Gross private domestic investment: Domestic business;Gross private domestic investment: Households and institutions;Gross government investment;Current taxes and transfer payments to the rest of the world: Net lending or net borrowing (-): Capital account transactions (net) NIPAs;Capital account transactions (net): Private;Capital account transactions (net): Private: Domestic business;Capital account transactions (net): Private: Households and institutions;Capital account transactions (net): Government;Current taxes and transfer payments to the rest of the world: Net lending or net borrowing (-), NIPAs;Net lending or net borrowing (-), NIPAs: Private;Net lending or net borrowing (-), NIPAs: Private: Domestic business;Net lending or net borrowing (-), NIPAs: Private: Households and institutions;Net lending or net borrowing (-), NIPAs: Government
1970-01-01;226,898;94,66;113,943;25,687;88,257;-19,284;132,239;94,886;78,92;15,966;37,352;231,033;227,124;168,113;131,249;36,864;59,012;0,0;3,803;-0,231;4,034;-3,803;3,909;41,051;-22,274;63,325;-37,14
1970-04-01;229,82;94,548;124,965;29,558;95,407;-30,417;135,272;97,089;80,828;16,261;38,184;235,338;230,29;171,455;135,394;36,061;58,835;0,004;3,946;-0,048;3,994;-3,942;5,044;52,17;-19,442;71,613;-47,127
1970-07-01;231,299;92,972;131,159;28,42;102,739;-38,186;138,327;99,359;82,744;16,616;38,968;237,881;234,145;173,904;136,938;36,966;60,24;0,004;3,555;-0,249;3,804;-3,551;3,732;59,639;-18,946;78,584;-55,908
1970-10-01;224,904;83,394;129,002;25,054;103,948;-45,609;141,511;101,698;84,668;17,03;39,813;230,051;227,851;166,754;126,644;40,11;61,096;0,012;3,936;0,084;3,852;-3,924;2,189;65,156;-11,859;77,015;-62,968
1971-01-01;238,722;94,076;141,439;33,75;107,689;-47,363;144,646;104,104;86,601;17,503;40,542;252,032;247,545;189,495;146,395;43,1;58,05;0,013;5,636;1,825;3,811;-5,623;4,475;63,721;-14,561;78,282;-59,247
1971-04-01;243,238;95,642;149,419;35,215;114,205;-53,778;147,597;106,479;88,498;17,981;41,118;255,517;255,655;197,329;149,617;47,712;58,326;0,013;3,122;-0,678;3,801;-3,109;-0,151;67,724;-12,948;80,673;-67,877
1971-07-01;248,987;98,627;152,094;38,352;113,742;-53,467;150,361;108,822;90,36;18,463;41,538;261,21;261,23;202,058;151,456;50,602;59,172;0,017;3,406;-0,749;4,155;-3,389;-0,037;67,677;-9,771;77,448;-67,712
1971-10-01;253,551;100,452;154,566;42,502;112,064;-54,114;153,099;111,134;92,185;18,949;41,965;253,815;256,899;198,411;145,148;53,263;58,488;0,025;5,716;-0,709;6,426;-5,691;-3,109;61,834;-9,489;71,323;-64,945
1972-01-01;262,956;107,014;152,401;45,045;107,356;-45,388;155,942;113,414;93,975;19,439;42,528;267,931;272,962;212,968;155,665;57,303;59,994;0,024;5,648;-0,815;6,463;-5,624;-5,055;52,177;-10,852;63,029;-57,23
1972-04-01;265,671;106,719;148,757;46,322;102,435;-42,037;158,952;115,957;95,961;19,995;42,996;282,966;287,72;226,798;167,985;58,813;60,922;0,024;3,907;-0,846;4,754;-3,883;-4,778;51,303;-7,56;58,863;-56,08
1972-07-01;279,814;117,108;157,801;49,115;108,686;-40,693;162,705;118,762;98,144;20,618;43,943;288,705;292,303;233,09;172,859;60,231;59,214;0,036;4,881;-0,286;5,167;-4,845;-3,635;47,48;-16,427;63,907;-51,118
1972-10-01;302,09;135,656;179,295;51,657;127,638;-43,638;166,434;121,831;100,523;21,308;44,603;299,566;302,348;239,715;175,286;64,428;62,633;0,036;8,233;2,485;5,748;-8,197;-2,818;50,656;-28,113;78,769;-53,471
1973-01-01;316,025;145,535;177,07;55,364;121,706;-31,535;170,49;125,163;103,099;22,065;45,327;322,694;320,489;254,313;186,478;67,835;66,176;0,037;10,651;4,685;5,966;-10,614;2,169;43,939;-26,031;69,97;-41,77
1973-04-01;324,765;149,372;184,389;51,733;132,656;-35,018;175,393;129,026;106,156;22,87;46,367;339,141;333,732;268,196;201,241;66,955;65,537;0,037;5,418;0,609;4,809;-5,381;5,371;54,178;-29,584;83,763;-48,807
1973-07-01;338,966;157,725;190,658;54,033;136,625;-32,933;181,24;133,421;109,697;23,724;47,82;341,45;328,975;264,335;197,602;66,733;64,641;0,041;9,233;4,252;4,981;-9,192;12,433;52,991;-35,644;88,635;-40,562
1973-10-01;361,37;173,761;205,168;52,908;152,26;-31,407;187,608;138,346;113,72;24,626;49,262;362,423;347,066;280,858;215,669;65,189;66,208;0,037;6,405;1,045;5,36;-6,368;15,321;57,306;-49,03;106,337;-41,984
1974-01-01;355,776;161,468;196,714;48,009;148,705;-35,246;194,309;143,802;118,226;25,577;50,506;355,837;339,32;268,361;205,661;62,7;70,959;0,036;8,466;3,143;5,323;-8,43;16,481;63,752;-42,507;106,259;-47,269
1974-04-01;346,402;144,276;183,084;43,461;139,623;-38,808;202,126;149,727;123,183;26,544;52,398;356,091;353,428;277,391;215,113;62,278;76,037;0,036;18,255;13,275;4,98;-18,219;2,627;46,856;-52,053;98,909;-44,227
1974-07-01;345,947;134,766;173,639;33,392;140,248;-38,874;211,181;156,12;128,592;27,529;55,061;349,518;349,209;271,013;207,857;63,156;78,197;0,036;3,839;-0,869;4,708;-3,803;0,273;58,478;-41,435;99,913;-58,207
1974-10-01;348,678;128,721;190,481;33,941;156,54;-61,761;219,957;162,982;134,452;28,53;56,975;365,201;360,809;281,339;222,612;58,728;79,47;0,036;8,929;4,509;4,421;-8,893;4,356;79,719;-42,202;121,921;-75,362
1975-01-01;329,844;101,1;189,668;41,026;148,642;-88,568;228,744;170,311;140,763;29,548;58,433;345,235;327,346;244,306;186,122;58,185;83,04;0,048;4,504;0,062;4,442;-4,456;17,841;126,562;10,998;115,564;-108,72
1975-04-01;330,02;94,243;237,94;49,472;188,469;-143,698;235,778;176,635;146,146;30,489;59,142;343,901;322,447;243,281;181,828;61,453;79,167;0,06;4,875;-0,083;4,957;-4,815;21,394;180,302;27,755;152,547;-158,907
1975-07-01;360,097;117,965;218,574;59,703;158,871;-100,609;242,132;181,953;150,6;31,352;60,179;369,107;350,717;265,192;198,797;66,395;85,526;0,06;4,789;-0,434;5,223;-4,729;18,329;139,551;20,945;118,606;-121,227
1975-10-01;372,615;125,225;226,947;66,81;160,137;-101,723;247,391;186,265;154,126;32,139;61,126;387,739;366,116;276,236;205,66;70,576;89,88;0,06;4,618;-0,58;5,197;-4,558;21,563;147,484;30,982;116,503;-125,919
1976-01-01;392,01;140,084;228,64;72,331;156,309;-88,557;251,926;189,571;156,723;32,847;62,356;410,692;397,54;304,638;227,526;77,112;92,903;0,061;5,57;0,178;5,392;-5,509;13,091;126,688;20,036;106,652;-113,595
1976-04-01;399,337;142,638;224,655;69,859;154,796;-82,017;256,699;193,669;159,95;33,719;63,029;420,268;411,275;322,303;241,221;81,082;88,972;0,049;8,081;2,381;5,7;-8,032;8,944;108,873;7,14;101,733;-99,928
1976-07-01;402,061;139,369;225,339;69,931;155,407;-85,97;262,692;198,561;163,808;34,754;64,131;419,426;417,02;328,307;246,76;81,547;88,713;0,049;9,618;3,759;5,858;-9,569;2,357;103,339;0,584;102,756;-100,983
1976-10-01;403,838;134,249;219,057;68,023;151,034;-84,808;269,589;204,247;168,295;35,952;65,342;429,47;425,644;337,65;245,556;92,095;87,994;0,049;7,451;0,817;6,634;-7,402;3,777;103,836;15,579;88,257;-100,057
1977-01-01;415,96;138,423;214,492;72,642;141,85;-76,069;277,537;210,725;173,412;37,312;66,813;443,699;451,722;360,313;262,792;97,521;91,409;0,052;12,34;-0,62;12,96;-12,288;-8,074;80,306;11,624;68,682;-88,377
1977-04-01;454,377;168,718;236,967;86,587;150,38;-68,249;285,66;217,476;178,698;38,778;68,184;475,077;483,92;389,703;279,887;109,816;94,217;0,06;7,046;0,355;6,692;-6,986;-8,903;78,394;5,745;72,65;-87,295
1977-07-01;479,298;185,542;257,687;97,262;160,425;-72,145;293,756;224,499;184,151;40,349;69,256;499,904;507,762;414,134;301,32;112,814;93,628;0,072;9,393;2,926;6,467;-9,321;-7,93;79,264;-2,228;81,492;-87,195
1977-10-01;488,027;185,663;260,93;89,803;171,127;-75,267;302,364;231,796;189,771;42,025;70,568;496,762;515,695;422,299;307,618;114,682;93,396;0,072;7,132;0,931;6,201;-7,06;-19,005;72,03;-20,239;92,269;-91,034
1978-01-01;500,494;188,896;266,786;89,174;177,613;-77,89;311,598;239,366;195,56;43,806;72,232;503,294;528,302;434,799;316,719;118,079;93,503;0,084;5,268;-0,634;5,902;-5,184;-25,092;68,875;-28,563;97,437;-93,977
1978-04-01;540,625;218,626;271,3;103,652;167,649;-52,675;321,999;247,493;201,861;45,632;74,506;562,68;575,535;470,584;344,112;126,472;104,951;0,084;8,364;2,595;5,769;-8,28;-12,939;61,891;-19,148;81,04;-74,839
1978-07-01;561,476;229,497;283,526;107,021;176,505;-54,029;331,98;256,178;208,676;47,502;75,802;590,663;602,049;492,368;362,365;130,002;109,681;0,084;4,141;-1,674;5,815;-4,057;-11,47;72,39;-15,799;88,189;-83,851
1978-10-01;589,365;246,162;290,319;111,825;178,495;-44,157;343,202;265,419;216,004;49,416;77,783;628,626;629,887;515,755;384,165;131,591;114,132;0,096;5,755;-0,116;5,871;-5,659;-1,357;73,494;-16,956;90,449;-74,847
