date;Total Public Construction Spending: Total Construction in the United States;Total Private Construction Spending: Total Construction in the United States
1993-01-01;113906,0;344175,0
1993-02-01;119243,0;343724,0
1993-03-01;119772,0;338627,0
1993-04-01;126908,0;342517,0
1993-05-01;121634,0;347364,0
1993-06-01;129212,0;351035,0
1993-07-01;129298,0;354273,0
1993-08-01;130039,0;361455,0
1993-09-01;131983,0;365314,0
1993-10-01;126606,0;366218,0
1993-11-01;132425,0;383509,0
1993-12-01;137897,0;395253,0
1994-01-01;126467,0;386847,0
1994-02-01;124573,0;388623,0
1994-03-01;125942,0;395098,0
1994-04-01;123666,0;404397,0
1994-05-01;125991,0;406337,0
1994-06-01;131725,0;404473,0
1994-07-01;133537,0;403695,0
1994-08-01;133205,0;404755,0
1994-09-01;132130,0;406085,0
1994-10-01;135310,0;397963,0
1994-11-01;131047,0;408104,0
1994-12-01;135129,0;406665,0
1995-01-01;132958,0;410972,0
1995-02-01;130106,0;407720,0
1995-03-01;135758,0;406957,0
1995-04-01;137352,0;405745,0
1995-05-01;139811,0;402756,0
1995-06-01;142949,0;403182,0
1995-07-01;137475,0;409867,0
1995-08-01;144003,0;406993,0
1995-09-01;142569,0;411442,0
1995-10-01;143657,0;411476,0
1995-11-01;143817,0;413628,0
1995-12-01;140236,0;417717,0
1996-01-01;147112,0;428026,0
1996-02-01;138716,0;429337,0
1996-03-01;140166,0;434372,0
1996-04-01;148123,0;442341,0
1996-05-01;152967,0;447219,0
1996-06-01;144131,0;458019,0
1996-07-01;147315,0;452584,0
1996-08-01;144095,0;459865,0
1996-09-01;149634,0;465833,0
1996-10-01;150834,0;470927,0
1996-11-01;151214,0;469598,0
1996-12-01;144846,0;461233,0
1997-01-01;144713,0;463895,0
1997-02-01;150267,0;465148,0
1997-03-01;153274,0;467193,0
1997-04-01;152649,0;463526,0
1997-05-01;153063,0;471680,0
1997-06-01;154500,0;471896,0
1997-07-01;156978,0;480433,0
1997-08-01;155647,0;483946,0
1997-09-01;153056,0;493470,0
1997-10-01;157106,0;496090,0
1997-11-01;152798,0;490912,0
1997-12-01;154442,0;487580,0
1998-01-01;149499,0;496187,0
1998-02-01;147429,0;500693,0
1998-03-01;147093,0;519814,0
1998-04-01;150464,0;523887,0
1998-05-01;146590,0;527735,0
1998-06-01;158157,0;545021,0
1998-07-01;160167,0;536373,0
1998-08-01;155684,0;542472,0
1998-09-01;159734,0;547827,0
1998-10-01;158208,0;549735,0
1998-11-01;156912,0;550932,0
1998-12-01;160793,0;546196,0
1999-01-01;159954,0;548864,0
1999-02-01;167072,0;559236,0
1999-03-01;167195,0;570031,0
1999-04-01;167681,0;561107,0
1999-05-01;164689,0;562669,0
1999-06-01;166830,0;572336,0
1999-07-01;169934,0;575881,0
1999-08-01;168741,0;572783,0
1999-09-01;168889,0;582514,0
1999-10-01;170663,0;589243,0
1999-11-01;177472,0;603727,0
1999-12-01;185045,0;604386,0
2000-01-01;184676,0;600264,0
2000-02-01;176352,0;617385,0
2000-03-01;187906,0;621553,0
2000-04-01;183725,0;621040,0
2000-05-01;178929,0;626076,0
2000-06-01;175368,0;620043,0
2000-07-01;171776,0;612019,0
2000-08-01;183390,0;621951,0
2000-09-01;185769,0;628561,0
2000-10-01;185369,0;630731,0
2000-11-01;183993,0;636061,0
2000-12-01;185294,0;626222,0
2001-01-01;188192,0;626287,0
2001-02-01;189203,0;624444,0
2001-03-01;197455,0;630602,0
2001-04-01;201615,0;640778,0
2001-05-01;206540,0;641607,0
2001-06-01;205260,0;650470,0
2001-07-01;204878,0;645593,0
2001-08-01;203649,0;643815,0
2001-09-01;198558,0;638853,0
2001-10-01;206677,0;639264,0
2001-11-01;207550,0;636361,0
2001-12-01;209290,0;640399,0
2002-01-01;217321,0;641333,0
2002-02-01;219966,0;642371,0
2002-03-01;206789,0;637762,0
2002-04-01;208700,0;649539,0
2002-05-01;215094,0;635840,0
2002-06-01;209818,0;636959,0
2002-07-01;213148,0;633982,0
2002-08-01;212437,0;626571,0
2002-09-01;212711,0;619424,0
2002-10-01;214144,0;625547,0
2002-11-01;214383,0;630314,0
2002-12-01;221742,0;634179,0
2003-01-01;219258,0;644597,0
2003-02-01;216078,0;643146,0
2003-03-01;208246,0;642886,0
2003-04-01;211887,0;647572,0
2003-05-01;213124,0;653690,0
2003-06-01;218419,0;662446,0
2003-07-01;217640,0;673624,0
2003-08-01;220213,0;681626,0
2003-09-01;219205,0;692384,0
2003-10-01;222735,0;702997,0
2003-11-01;214612,0;711373,0
2003-12-01;212946,0;735545,0
2004-01-01;212536,0;725993,0
2004-02-01;210322,0;727494,0
2004-03-01;221222,0;739934,0
2004-04-01;221765,0;745840,0
2004-05-01;218891,0;755493,0
2004-06-01;222773,0;760308,0
2004-07-01;224037,0;782149,0
2004-08-01;220820,0;792795,0
2004-09-01;218907,0;793176,0
2004-10-01;218000,0;797716,0
