date;Employment Cost Index: Total compensation for All Civilian workers in All industries and occupations;Employment Cost Index: Total compensation for All Civilian workers in Management, professional, and related;Employment Cost Index: Total compensation for All Civilian workers in Sales and office;Employment Cost Index: Total compensation for All Civilian workers in Natural resources, construction, and maintenance;Employment Cost Index: Total compensation for All Civilian workers in Production, transportation, and material moving;Employment Cost Index: Total compensation for All Civilian workers in Goods-producing industries; Employment Cost Index: Total compensation for All Civilian workers in Service-providing industries
2001-01-01;84,7;84,7;84,3;84,2;85,2;83,9;84,9
2001-04-01;85,5;85,5;85,2;84,8;85,7;84,7;85,7
2001-07-01;86,5;86,7;86,0;86,2;86,6;85,3;86,8
2001-10-01;87,1;87,2;86,7;86,5;87,3;86,0;87,4
2002-01-01;87,9;88,0;87,7;87,3;88,3;87,0;88,2
2002-04-01;88,7;88,6;88,8;88,3;88,9;87,6;89,0
2002-07-01;89,5;89,5;89,4;89,2;89,6;88,2;89,9
2002-10-01;90,0;89,9;89,7;89,7;90,2;89,0;90,2
2003-01-01;91,2;91,4;90,7;90,8;91,4;90,5;91,4
2003-04-01;92,0;91,9;91,7;91,9;92,3;91,4;92,1
2003-07-01;93,0;93,1;92,9;92,7;93,0;92,1;93,3
2003-10-01;93,5;93,6;93,1;93,3;93,5;92,6;93,7
2004-01-01;94,6;94,5;94,3;94,7;95,3;94,5;94,7
2004-04-01;95,5;95,2;95,5;95,9;96,3;95,4;95,5
2004-07-01;96,5;96,2;96,6;96,4;97,3;96,5;96,5
2004-10-01;97,0;96,8;96,8;97,0;97,7;96,9;97,0
2005-01-01;98,0;98,0;97,7;97,8;98,4;98,0;97,9
2005-04-01;98,6;98,5;98,4;98,8;99,0;99,0;98,5
2005-07-01;99,4;99,4;99,3;99,5;99,7;99,8;99,3
2005-10-01;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2006-01-01;100,7;100,9;100,5;100,8;100,4;100,3;100,9
2006-04-01;101,6;101,6;101,6;102,0;101,1;101,3;101,6
2006-07-01;102,7;103,0;102,4;103,0;101,8;102,0;102,9
2006-10-01;103,3;103,7;103,0;103,6;102,4;102,5;103,5
2007-01-01;104,2;104,7;103,8;104,1;102,7;102,9;104,4
2007-04-01;105,0;105,5;104,8;105,1;103,5;103,9;105,2
2007-07-01;106,1;106,7;105,5;106,1;104,2;104,4;106,4
2007-10-01;106,7;107,2;106,4;106,8;104,7;105,0;107,0
2008-01-01;107,6;108,3;106,8;107,7;105,6;106,1;107,8
2008-04-01;108,3;109,0;107,7;108,4;106,2;106,8;108,5
2008-07-01;109,2;110,1;108,2;109,3;106,9;107,3;109,5
2008-10-01;109,5;110,4;108,3;109,8;107,2;107,5;109,8
2009-01-01;109,9;110,9;108,4;110,1;108,0;108,0;110,3
2009-04-01;110,2;111,0;108,7;110,6;108,4;108,2;110,6
2009-07-01;110,8;111,5;109,3;111,2;109,0;108,4;111,2
2009-10-01;111,0;111,6;109,7;111,5;109,2;108,6;111,5
