date;Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private;Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing;Average Hourly Earnings of Production and Nonsupervisory Employees, Private Service-Providing;Average Weekly Hours of All Employees, Total Private;Average Weekly Hours of All Employees, Goods-Producing;Average Weekly Hours of All Employees, Private Service-Providing;All Employees, Total Nonfarm;All Employees, Total Private;All Employees, Goods-Producing;All Employees, Private Service-Providing;All Employees, Government
1970-01-01;3,31;3,4;3,26;;;;71176;58680;22726;35954;12496
1970-02-01;3,33;3,43;3,28;;;;71305;58787;22747;36040;12518
1970-03-01;3,36;3,45;3,3;;;;71451;58848;22738;36110;12603
1970-04-01;3,36;3,47;3,3;;;;71348;58643;22552;36091;12705
1970-05-01;3,37;3,48;3,31;;;;71124;58456;22336;36120;12668
1970-06-01;3,4;3,51;3,32;;;;71029;58362;22241;36121;12667
1970-07-01;3,41;3,53;3,34;;;;71053;58356;22195;36161;12697
1970-08-01;3,44;3,56;3,36;;;;70937;58226;22105;36121;12711
1970-09-01;3,45;3,58;3,38;;;;70944;58203;21988;36215;12741
1970-10-01;3,45;3,57;3,39;;;;70521;57728;21477;36251;12793
1970-11-01;3,47;3,58;3,41;;;;70409;57579;21345;36234;12830
1970-12-01;3,5;3,63;3,42;;;;70792;57947;21673;36274;12845
1971-01-01;3,53;3,67;3,45;;;;70865;57987;21594;36393;12878
1971-02-01;3,55;3,69;3,46;;;;70807;57930;21514;36416;12877
1971-03-01;3,56;3,71;3,48;;;;70860;57952;21491;36461;12908
1971-04-01;3,58;3,74;3,49;;;;71036;58091;21552;36539;12945
1971-05-01;3,61;3,76;3,52;;;;71247;58277;21645;36632;12970
1971-06-01;3,62;3,78;3,53;;;;71254;58246;21568;36678;13008
1971-07-01;3,63;3,79;3,54;;;;71315;58304;21564;36740;13011
1971-08-01;3,66;3,82;3,56;;;;71373;58332;21570;36762;13041
1971-09-01;3,67;3,83;3,58;;;;71614;58546;21650;36896;13068
1971-10-01;3,68;3,85;3,58;;;;71642;58527;21604;36923;13115
1971-11-01;3,7;3,85;3,6;;;;71847;58699;21684;37015;13148
1971-12-01;3,73;3,9;3,63;;;;72109;58919;21741;37178;13190
1972-01-01;3,8;3,93;3,73;;;;72441;59175;21865;37310;13266
