date;Real Value Added by Industry: Private Industries;Real Value Added by Industry: Agriculture, Forestry, Fishing, and Hunting;Real Value Added by Industry: Mining;Real Value Added by Industry: Utilities;Real Value Added by Industry: Construction;Real Value Added by Industry: Manufacturing;Real Value Added by Industry: Wholesale Trade;Real Value Added by Industry: Retail Trade;Real Value Added by Industry: Transportation and Warehousing;Real Value Added by Industry: Information;Real Value Added by Industry: Finance, Insurance;Real Value Added by Industry: Real Estate and Rental and Leasing;Real Value Added by Industry: Professional and Business Services;Real Value Added by Industry: Educational Services, Health Care, and Social Assistance;Real Value Added by Industry: Arts, Entertainment, Recreation, Accommodation, and Food Services;Real Value Added by Industry: Other Services, Except Government;Real Value Added by Industry: Not Allocated by Industry;Contributions to Percent Change in Real GDP: Private Industries;Contributions to Percent Change in Real GDP: Agriculture, Forestry, Fishing, and Hunting;Contributions to Percent Change in Real GDP: Mining;Contributions to Percent Change in Real GDP: Utilities;Contributions to Percent Change in Real GDP: Construction;Contributions to Percent Change in Real GDP: Manufacturing;Contributions to Percent Change in Real GDP: Wholesale Trade;Contributions to Percent Change in Real GDP: Retail Trade;Contributions to Percent Change in Real GDP: Transportation and Warehousing;Contributions to Percent Change in Real GDP: Information;Contributions to Percent Change in Real GDP: Finance, Insurance;Contributions to Percent Change in Real GDP: Real Estate and Rental and Leasing;Contributions to Percent Change in Real GDP: Professional and Business Services;Contributions to Percent Change in Real GDP: Educational Services, Health Care, and Social Assistance;Contributions to Percent Change in Real GDP: Arts, Entertainment, Recreation, Accommodation, and Food Services;Contributions to Percent Change in Real GDP: Other Services, Except Government
2005-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-01-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-04-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-01-01;17573,9;179,4;270,2;312,4;865,8;2192,3;1189,1;1222,1;660,4;1038,1;1478,6;2600,7;2532,6;1753,7;835,8;444,4;-8,7;;;;;;;;;;;;;;;;
2018-04-01;17670,1;187,3;280,0;313,9;860,3;2205,5;1178,2;1212,5;656,1;1060,5;1470,6;2623,8;2567,3;1758,1;850,7;447,5;-10,2;1,93;0,18;0,23;0,03;-0,13;0,25;-0,2;-0,21;-0,08;0,45;-0,21;0,48;0,68;0,07;0,32;0,06
2018-07-01;17786,7;184,4;276,5;305,1;865,0;2216,4;1189,3;1230,3;657,9;1075,8;1491,4;2631,1;2605,0;1767,8;846,6;447,6;-9,2;2,33;-0,04;-0,05;-0,16;0,07;0,14;0,28;0,34;0,05;0,31;0,41;0,13;0,74;0,18;-0,07;-0,01
2018-10-01;17816,2;185,3;281,4;305,7;863,9;2237,9;1187,0;1215,3;656,1;1089,8;1446,6;2635,5;2633,5;1780,7;855,2;448,8;-12,2;0,58;0,03;0,17;0,01;-0,04;0,33;0,01;-0,28;-0,02;0,26;-0,92;0,06;0,53;0,25;0,17;0,02
2019-01-01;17945,3;172,3;303,7;297,9;876,9;2208,6;1194,2;1236,8;649,7;1127,2;1491,9;2629,7;2670,5;1797,3;850,9;443,4;-20,0;2,54;-0,21;0,55;-0,15;0,26;-0,7;0,24;0,41;-0,12;0,69;0,93;-0,16;0,69;0,32;-0,1;-0,11
2019-04-01;18098,1;171,8;314,8;309,7;881,8;2217,1;1176,6;1243,0;655,5;1171,4;1509,0;2642,4;2695,8;1816,5;856,9;445,2;-18,0;3,01;0,0;0,26;0,25;0,1;0,05;-0,3;0,09;0,12;0,82;0,4;0,24;0,47;0,37;0,11;0,03
2019-07-01;18315,7;169,6;325,5;311,2;887,4;2238,3;1192,2;1265,3;666,2;1199,5;1515,1;2667,4;2731,2;1831,3;875,5;451,9;-17,1;4,28;-0,03;0,2;0,03;0,12;0,33;0,34;0,41;0,21;0,51;0,18;0,52;0,68;0,28;0,37;0,13
2019-10-01;18423,9;170,9;314,4;332,9;882,0;2229,3;1202,8;1268,0;663,1;1209,3;1566,3;2679,5;2744,0;1837,8;877,2;455,6;-14,8;2,09;0,03;-0,22;0,42;-0,1;-0,22;0,19;0,02;-0,08;0,18;1,12;0,28;0,26;0,12;0,03;0,07
